学号	专业	班级	姓名	总分	题目类型
20210010	人工智能	5	王十二	0.000000	单项填空
20210007	网络工程	4	周九	50.000000	单项填空
20210004	软件工程	2	赵六	70.000000	单项填空
20210006	网络工程	3	孙八	70.000000	单项填空
20210002	计算机	1	李四	80.000000	单项填空
20210003	计算机	2	王五	90.000000	单项填空
20210001	计算机	1	张三	100.000000	单项填空
20210005	软件工程	3	钱七	100.000000	单项填空
20210008	信息安全	4	吴十	100.000000	单项填空
20210009	信息安全	5	郑十一	100.000000	单项填空
20210001	计算机	1	张三	100.000000	多项填空
20210005	软件工程	3	钱七	100.000000	多项填空
20210008	信息安全	4	吴十	100.000000	多项填空
20210009	信息安全	5	郑十一	100.000000	多项填空
20210003	计算机	2	王五	90.000000	多项填空
20210002	计算机	1	李四	80.000000	多项填空
20210004	软件工程	2	赵六	70.000000	多项填空
20210006	网络工程	3	孙八	70.000000	多项填空
20210007	网络工程	4	周九	50.000000	多项填空
20210010	人工智能	5	王十二	0.000000	多项填空
