学号	专业	班级	姓名	题号	题目	答案	得分	总分	题目类型
20210001	计算机	1	张三	1	r()pz	o	10.000000	10.000000	0
20210001	计算机	1	张三	2	w()ter	a	10.000000	20.000000	0
20210001	计算机	1	张三	3	b()ok	o	10.000000	30.000000	0
20210001	计算机	1	张三	4	h()ppy	a	10.000000	40.000000	0
20210001	计算机	1	张三	5	c()t	a	10.000000	50.000000	0
20210001	计算机	1	张三	6	d()g	o	10.000000	60.000000	0
20210001	计算机	1	张三	7	f()sh	i	10.000000	70.000000	0
20210001	计算机	1	张三	8	g()me	a	10.000000	80.000000	0
20210001	计算机	1	张三	9	l()ke	i	10.000000	90.000000	0
20210001	计算机	1	张三	10	n()me	a	10.000000	100.000000	0
20210001	计算机	1	张三	11	z()()oo	yw	10.000000	10.000000	1
20210001	计算机	1	张三	12	m()()th	ea	10.000000	20.000000	1
20210001	计算机	1	张三	13	b()()k	oo	10.000000	30.000000	1
20210001	计算机	1	张三	14	c()()l	oo	10.000000	40.000000	1
20210001	计算机	1	张三	15	f()()t	ee	10.000000	50.000000	1
20210001	计算机	1	张三	16	h()()r	ea	10.000000	60.000000	1
20210001	计算机	1	张三	17	s()()p	oo	10.000000	70.000000	1
20210001	计算机	1	张三	18	t()()th	ee	10.000000	80.000000	1
20210001	计算机	1	张三	19	wh()()	at	10.000000	90.000000	1
20210001	计算机	1	张三	20	th()()	is	10.000000	100.000000	1
20210002	计算机	1	李四	1	r()pz	o	10.000000	10.000000	0
20210002	计算机	1	李四	2	w()ter	a	10.000000	20.000000	0
20210002	计算机	1	李四	3	b()ok	o	10.000000	30.000000	0
20210002	计算机	1	李四	4	h()ppy	a	10.000000	40.000000	0
20210002	计算机	1	李四	5	c()t	a	0.000000	40.000000	0
20210002	计算机	1	李四	6	d()g	o	10.000000	50.000000	0
20210002	计算机	1	李四	7	f()sh	i	10.000000	60.000000	0
20210002	计算机	1	李四	8	g()me	a	10.000000	70.000000	0
20210002	计算机	1	李四	9	l()ke	i	0.000000	70.000000	0
20210002	计算机	1	李四	10	n()me	a	10.000000	80.000000	0
20210002	计算机	1	李四	11	z()()oo	yw	10.000000	10.000000	1
20210002	计算机	1	李四	12	m()()th	ea	10.000000	20.000000	1
20210002	计算机	1	李四	13	b()()k	oo	10.000000	30.000000	1
20210002	计算机	1	李四	14	c()()l	oo	0.000000	30.000000	1
20210002	计算机	1	李四	15	f()()t	ee	10.000000	40.000000	1
20210002	计算机	1	李四	16	h()()r	ea	10.000000	50.000000	1
20210002	计算机	1	李四	17	s()()p	oo	10.000000	60.000000	1
20210002	计算机	1	李四	18	t()()th	ee	0.000000	60.000000	1
20210002	计算机	1	李四	19	wh()()	at	10.000000	70.000000	1
20210002	计算机	1	李四	20	th()()	is	10.000000	80.000000	1
20210003	计算机	2	王五	1	r()pz	o	10.000000	10.000000	0
20210003	计算机	2	王五	2	w()ter	a	10.000000	20.000000	0
20210003	计算机	2	王五	3	b()ok	o	10.000000	30.000000	0
20210003	计算机	2	王五	4	h()ppy	a	10.000000	40.000000	0
20210003	计算机	2	王五	5	c()t	a	10.000000	50.000000	0
20210003	计算机	2	王五	6	d()g	o	10.000000	60.000000	0
20210003	计算机	2	王五	7	f()sh	i	10.000000	70.000000	0
20210003	计算机	2	王五	8	g()me	a	0.000000	70.000000	0
20210003	计算机	2	王五	9	l()ke	i	10.000000	80.000000	0
20210003	计算机	2	王五	10	n()me	a	10.000000	90.000000	0
20210003	计算机	2	王五	11	z()()oo	yw	10.000000	10.000000	1
20210003	计算机	2	王五	12	m()()th	ea	10.000000	20.000000	1
20210003	计算机	2	王五	13	b()()k	oo	10.000000	30.000000	1
20210003	计算机	2	王五	14	c()()l	oo	10.000000	40.000000	1
20210003	计算机	2	王五	15	f()()t	ee	10.000000	50.000000	1
20210003	计算机	2	王五	16	h()()r	ea	10.000000	60.000000	1
20210003	计算机	2	王五	17	s()()p	oo	0.000000	60.000000	1
20210003	计算机	2	王五	18	t()()th	ee	10.000000	70.000000	1
20210003	计算机	2	王五	19	wh()()	at	10.000000	80.000000	1
20210003	计算机	2	王五	20	th()()	is	10.000000	90.000000	1
20210004	软件工程	2	赵六	1	r()pz	o	10.000000	10.000000	0
20210004	软件工程	2	赵六	2	w()ter	a	0.000000	10.000000	0
20210004	软件工程	2	赵六	3	b()ok	o	10.000000	20.000000	0
20210004	软件工程	2	赵六	4	h()ppy	a	10.000000	30.000000	0
20210004	软件工程	2	赵六	5	c()t	a	0.000000	30.000000	0
20210004	软件工程	2	赵六	6	d()g	o	10.000000	40.000000	0
20210004	软件工程	2	赵六	7	f()sh	i	10.000000	50.000000	0
20210004	软件工程	2	赵六	8	g()me	a	10.000000	60.000000	0
20210004	软件工程	2	赵六	9	l()ke	i	0.000000	60.000000	0
20210004	软件工程	2	赵六	10	n()me	a	10.000000	70.000000	0
20210004	软件工程	2	赵六	11	z()()oo	yw	10.000000	10.000000	1
20210004	软件工程	2	赵六	12	m()()th	ea	10.000000	20.000000	1
20210004	软件工程	2	赵六	13	b()()k	oo	0.000000	20.000000	1
20210004	软件工程	2	赵六	14	c()()l	oo	10.000000	30.000000	1
20210004	软件工程	2	赵六	15	f()()t	ee	10.000000	40.000000	1
20210004	软件工程	2	赵六	16	h()()r	ea	10.000000	50.000000	1
20210004	软件工程	2	赵六	17	s()()p	oo	0.000000	50.000000	1
20210004	软件工程	2	赵六	18	t()()th	ee	10.000000	60.000000	1
20210004	软件工程	2	赵六	19	wh()()	at	10.000000	70.000000	1
20210004	软件工程	2	赵六	20	th()()	is	0.000000	70.000000	1
20210005	软件工程	3	钱七	1	r()pz	o	10.000000	10.000000	0
20210005	软件工程	3	钱七	2	w()ter	a	10.000000	20.000000	0
20210005	软件工程	3	钱七	3	b()ok	o	10.000000	30.000000	0
20210005	软件工程	3	钱七	4	h()ppy	a	10.000000	40.000000	0
20210005	软件工程	3	钱七	5	c()t	a	10.000000	50.000000	0
20210005	软件工程	3	钱七	6	d()g	o	10.000000	60.000000	0
20210005	软件工程	3	钱七	7	f()sh	i	10.000000	70.000000	0
20210005	软件工程	3	钱七	8	g()me	a	10.000000	80.000000	0
20210005	软件工程	3	钱七	9	l()ke	i	10.000000	90.000000	0
20210005	软件工程	3	钱七	10	n()me	a	10.000000	100.000000	0
20210005	软件工程	3	钱七	11	z()()oo	yw	10.000000	10.000000	1
20210005	软件工程	3	钱七	12	m()()th	ea	10.000000	20.000000	1
20210005	软件工程	3	钱七	13	b()()k	oo	10.000000	30.000000	1
20210005	软件工程	3	钱七	14	c()()l	oo	10.000000	40.000000	1
20210005	软件工程	3	钱七	15	f()()t	ee	10.000000	50.000000	1
20210005	软件工程	3	钱七	16	h()()r	ea	10.000000	60.000000	1
20210005	软件工程	3	钱七	17	s()()p	oo	10.000000	70.000000	1
20210005	软件工程	3	钱七	18	t()()th	ee	10.000000	80.000000	1
20210005	软件工程	3	钱七	19	wh()()	at	10.000000	90.000000	1
20210005	软件工程	3	钱七	20	th()()	is	10.000000	100.000000	1
20210006	网络工程	3	孙八	1	r()pz	o	10.000000	10.000000	0
20210006	网络工程	3	孙八	2	w()ter	a	10.000000	20.000000	0
20210006	网络工程	3	孙八	3	b()ok	o	0.000000	20.000000	0
20210006	网络工程	3	孙八	4	h()ppy	a	10.000000	30.000000	0
20210006	网络工程	3	孙八	5	c()t	a	0.000000	30.000000	0
20210006	网络工程	3	孙八	6	d()g	o	10.000000	40.000000	0
20210006	网络工程	3	孙八	7	f()sh	i	10.000000	50.000000	0
20210006	网络工程	3	孙八	8	g()me	a	0.000000	50.000000	0
20210006	网络工程	3	孙八	9	l()ke	i	10.000000	60.000000	0
20210006	网络工程	3	孙八	10	n()me	a	10.000000	70.000000	0
20210006	网络工程	3	孙八	11	z()()oo	yw	10.000000	10.000000	1
20210006	网络工程	3	孙八	12	m()()th	ea	0.000000	10.000000	1
20210006	网络工程	3	孙八	13	b()()k	oo	10.000000	20.000000	1
20210006	网络工程	3	孙八	14	c()()l	oo	10.000000	30.000000	1
20210006	网络工程	3	孙八	15	f()()t	ee	0.000000	30.000000	1
20210006	网络工程	3	孙八	16	h()()r	ea	10.000000	40.000000	1
20210006	网络工程	3	孙八	17	s()()p	oo	10.000000	50.000000	1
20210006	网络工程	3	孙八	18	t()()th	ee	0.000000	50.000000	1
20210006	网络工程	3	孙八	19	wh()()	at	10.000000	60.000000	1
20210006	网络工程	3	孙八	20	th()()	is	10.000000	70.000000	1
20210007	网络工程	4	周九	1	r()pz	o	10.000000	10.000000	0
20210007	网络工程	4	周九	2	w()ter	a	0.000000	10.000000	0
20210007	网络工程	4	周九	3	b()ok	o	10.000000	20.000000	0
20210007	网络工程	4	周九	4	h()ppy	a	0.000000	20.000000	0
20210007	网络工程	4	周九	5	c()t	a	10.000000	30.000000	0
20210007	网络工程	4	周九	6	d()g	o	0.000000	30.000000	0
20210007	网络工程	4	周九	7	f()sh	i	10.000000	40.000000	0
20210007	网络工程	4	周九	8	g()me	a	0.000000	40.000000	0
20210007	网络工程	4	周九	9	l()ke	i	10.000000	50.000000	0
20210007	网络工程	4	周九	10	n()me	a	0.000000	50.000000	0
20210007	网络工程	4	周九	11	z()()oo	yw	10.000000	10.000000	1
20210007	网络工程	4	周九	12	m()()th	ea	0.000000	10.000000	1
20210007	网络工程	4	周九	13	b()()k	oo	10.000000	20.000000	1
20210007	网络工程	4	周九	14	c()()l	oo	0.000000	20.000000	1
20210007	网络工程	4	周九	15	f()()t	ee	10.000000	30.000000	1
20210007	网络工程	4	周九	16	h()()r	ea	0.000000	30.000000	1
20210007	网络工程	4	周九	17	s()()p	oo	10.000000	40.000000	1
20210007	网络工程	4	周九	18	t()()th	ee	0.000000	40.000000	1
20210007	网络工程	4	周九	19	wh()()	at	10.000000	50.000000	1
20210007	网络工程	4	周九	20	th()()	is	0.000000	50.000000	1
20210008	信息安全	4	吴十	1	r()pz	o	10.000000	10.000000	0
20210008	信息安全	4	吴十	2	w()ter	a	10.000000	20.000000	0
20210008	信息安全	4	吴十	3	b()ok	o	10.000000	30.000000	0
20210008	信息安全	4	吴十	4	h()ppy	a	10.000000	40.000000	0
20210008	信息安全	4	吴十	5	c()t	a	10.000000	50.000000	0
20210008	信息安全	4	吴十	6	d()g	o	10.000000	60.000000	0
